$ lake env lean Poincare/Longrun/Entropy/Functional.lean
# cwd: /data/home/guoshaoyang/workdir/lean_poincare/longrun/worktrees/D9-adversarial-audit-release/release
# date: 2026-09-10T03:33:23.339989+00:00
'Poincare.Longrun.Entropy.EntropyData' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.F' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.extra' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.FDissipation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.HasConjugateWeight' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.conjugateWeight_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.integrable_extra' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.W_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.FDissipation_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.F_mono_integrand' depends on axioms: [propext, Classical.choice, Quot.sound]
